[CSOMOPONTOK]
0;350;350;Bolt
1;50;650;Otthon
2;650;50;Munkahely
3;50;50;Otthon
4;650;650;Munkahely
5;75;625;Csomopont
6;150;625;Csomopont
7;75;550;Csomopont
8;75;75;Csomopont
9;150;75;Csomopont
10;75;150;Csomopont
11;625;75;Csomopont
12;550;75;Csomopont
13;625;150;Csomopont
14;625;625;Csomopont
15;550;625;Csomopont
16;625;550;Csomopont
17;200;500;Benzinkut
18;200;200;Benzinkut
19;500;200;Benzinkut
20;500;500;Benzinkut
21;250;350;Csomopont
22;450;350;Csomopont
23;300;575;Csomopont
24;350;650;Csomopont
25;400;575;Csomopont
26;300;125;Csomopont
27;350;50;Csomopont
28;400;125;Csomopont
[SZAKASZOK]
0;1;5;2;Utszakasz
1;5;6;2;Utszakasz
2;5;7;2;Utszakasz
3;3;8;2;Utszakasz
4;8;9;2;Utszakasz
5;8;10;2;Utszakasz
6;2;11;2;Utszakasz
7;11;12;2;Utszakasz
8;11;13;2;Utszakasz
9;4;14;2;Utszakasz
10;14;15;2;Utszakasz
11;14;16;2;Utszakasz
12;7;17;2;Utszakasz
13;6;17;2;Utszakasz
14;10;18;2;Utszakasz
15;9;18;2;Utszakasz
16;13;19;2;Utszakasz
17;12;19;2;Utszakasz
18;16;20;2;Utszakasz
19;15;20;2;Utszakasz
20;17;18;1;Alagut
21;17;21;2;Utszakasz
22;18;21;2;Utszakasz
23;21;0;1;Hid
24;18;0;2;Utszakasz
25;20;19;1;Alagut
26;20;22;2;Utszakasz
27;19;22;2;Utszakasz
28;22;0;1;Hid
29;19;0;2;Utszakasz
30;17;23;2;Utszakasz
31;23;24;2;Utszakasz
32;24;25;2;Utszakasz
33;25;20;2;Utszakasz
34;18;26;2;Utszakasz
35;26;27;2;Utszakasz
36;27;28;2;Utszakasz
37;28;19;2;Utszakasz
[JARMUVEK]
Hokotro;0;23;-1;0;0;10;500
Auto;1;1;1;2
Auto;2;3;3;4
Busz;3;31;24;27
